date,aaa_oas_vix_component,aaa_oas_macro_component,aaa_oas_nfci_component,aaa_oas_residual,aaa_oas_fitted,ig_oas_vix_component,ig_oas_macro_component,ig_oas_nfci_component,ig_oas_residual,ig_oas_fitted,bbb_oas_vix_component,bbb_oas_macro_component,bbb_oas_nfci_component,bbb_oas_residual,bbb_oas_fitted,hy_oas_vix_component,hy_oas_macro_component,hy_oas_nfci_component,hy_oas_residual,hy_oas_fitted
2021-06-01,18.650559455241495,5.878447370452554,-33.437621917602826,9.405357851497556,36.594642148502444,16.690160329196903,14.90033683806368,-124.91413036418136,22.714862188365814,68.28513781163419,18.95208575251396,19.77368031309942,-155.9439089684127,27.27841172041478,85.72158827958522,43.46985825328145,55.45824386594644,-367.5510246577202,78.20164423169453,254.79835576830547
2021-06-02,18.212948562995606,5.878447370452554,-33.437621917602826,9.842968743743441,36.15703125625656,16.2985476287353,14.90033683806368,-124.91413036418136,22.106474888827435,67.89352511117256,18.50739994156112,19.77368031309942,-155.9439089684127,27.723097531367628,85.27690246863237,42.44989509873518,55.45824386594644,-367.5510246577202,77.22160738624083,253.77839261375917
2021-06-03,18.796429752656792,5.918710708606339,-33.437621917602826,10.219224215928463,36.78077578407154,16.820697896017435,15.002393939694253,-124.91413036418136,21.482267519914714,68.51773248008529,19.10031435616491,19.909116479627496,-155.9439089684127,26.99474695023575,86.00525304976425,43.80984597146354,55.83809485132964,-367.5510246577202,72.48180552812923,255.51819447187077
2021-06-04,17.10850202542265,5.717394017837416,-33.48198744373414,12.152834160062852,34.84716583993715,15.310191765665541,14.492108431541388,-125.07986826050963,24.668797054747742,66.33120294525226,17.38509765677538,19.231935646987104,-156.15081762912448,29.594053142977486,83.40594685702251,39.87570237535651,53.938839924413664,-368.0386967364711,78.80287612990327,249.19712387009673
2021-06-07,17.10850202542265,5.677130679683631,-33.48198744373414,12.19309749821663,34.80690250178337,15.310191765665541,14.390051329910813,-125.07986826050963,24.77085415637832,66.22914584362168,17.38509765677538,19.096499480459027,-156.15081762912448,29.729489309505567,83.27051069049443,39.87570237535651,53.55898893903047,-368.0386967364711,78.18272711528647,248.81727288471353
2021-06-08,17.78575697770795,5.596604003376061,-33.48198744373414,11.596369222238891,35.40363077776111,15.91625904018945,14.185937126649668,-125.07986826050963,24.368901085115553,66.63109891488445,18.073301888011915,18.82562714740287,-156.15081762912448,29.312157411325188,83.68784258867481,41.45421678120192,52.79928696826408,-368.0386967364711,76.36391468020742,249.63608531979258
2021-06-09,18.640140148283262,5.395287312607139,-33.48198744373414,10.943302742432508,36.05669725756749,16.68083621728115,13.675651618496802,-125.07986826050963,24.11460941617672,66.88539058382328,18.94149799511032,18.14844631476248,-156.15081762912448,29.12114213686715,83.87885786313285,43.445573416268445,50.90003204134811,-368.0386967364711,72.27181297205681,249.7281870279432
2021-06-10,16.77508420275911,5.274497298145786,-33.48198744373414,12.929148702418019,34.07085129758198,15.011820184361461,13.369480313605083,-125.07986826050963,26.089796753988125,64.91020324601187,17.046289419858926,17.742137815178246,-156.15081762912448,30.42265921170278,81.57734078829722,39.098587590940305,49.760479085198526,-368.0386967364711,78.75835175353455,244.24164824646545
2021-06-11,16.306215389638513,5.274497298145786,-33.44581989525752,13.361849967061993,33.63815003293801,14.5922351481526,13.369480313605083,-124.94475584502463,25.37426937471197,64.62573062528803,16.56984033669517,17.742137815178246,-155.98214209050073,29.730432756242806,81.2695672437572,38.00576992535501,49.760479085198526,-367.6411379766198,77.45361065926849,243.5463893407315
2021-06-14,17.07724410454794,5.4355506507609235,-33.44581989525752,11.429767899537431,34.57023210046257,15.282219429918282,13.777708720127377,-124.94475584502463,23.276056686424013,65.72394331357599,17.35333438456446,18.283882481290558,-155.98214209050073,27.4051940422612,82.5948059577388,39.802847864317485,51.279883026731305,-367.6411379766198,70.13712877877319,246.8628712212268
2021-06-15,17.733660442916772,5.4355506507609235,-33.44581989525752,10.773351561168589,35.22664843883141,15.869638480610686,13.777708720127377,-124.94475584502463,22.68863763573161,66.31136236426839,18.02036310099372,18.283882481290558,-155.98214209050073,26.738165325831915,83.26183467416809,41.33279259613689,51.279883026731305,-367.6411379766198,68.60718404695385,248.39281595304615
2021-06-16,18.91104212919738,5.475813988914709,-33.44581989525752,8.5557065367342,36.4442934632658,16.923263127090713,13.87976582175795,-124.94475584502463,19.532955887621014,67.46704411237899,19.216779687604937,18.41931864781864,-155.98214209050073,23.406312572692627,84.59368742730737,44.07697917860661,51.659734012114505,-367.6411379766198,60.483146479100895,251.5168535208991
2021-06-17,18.494269850867962,5.193970621838216,-33.44581989525752,8.254322182140108,35.74567781785989,16.550298650460615,13.165366110343937,-124.94475584502463,20.620320075665134,66.37967992433487,18.793269391459376,17.47126548212209,-155.98214209050073,24.777876034534756,83.22212396546524,43.10558569808636,49.00077711443213,-367.6411379766198,67.1134968573036,247.8865031426964
2021-06-18,21.567965403547426,4.791337240300369,-33.298256297472925,6.435696413213897,38.5643035867861,19.30091166560759,12.144795094038205,-124.39349718984589,18.33901942164512,68.66098057835488,21.916657825532905,16.116903816841305,-155.29394589291593,22.3206530681572,85.6793469318428,50.26961261692324,45.20226726060018,-366.01909823642654,65.12594005210539,252.8740599478946
