date,AAA,IG,BBB,HY
2021-08-25,0.008039682539682541,0.015111111111111113,0.01866931216931217,0.05374074074074074
2021-08-26,0.008047619047619048,0.015119047619047619,0.018671957671957673,0.05371164021164021
2021-08-27,0.008052910052910053,0.015124338624338625,0.018674603174603177,0.05368253968253968
2021-08-30,0.008058201058201058,0.015126984126984126,0.018677248677248678,0.05365079365079366
2021-08-31,0.008063492063492063,0.015129629629629628,0.01867989417989418,0.05363492063492063
2021-09-01,0.008068783068783069,0.015132275132275132,0.018682539682539683,0.053616402116402125
2021-09-02,0.008074074074074076,0.015134920634920635,0.018685185185185187,0.0536005291005291
2021-09-03,0.00807936507936508,0.015137566137566137,0.018687830687830687,0.053576719576719584
2021-09-06,0.008084656084656085,0.015142857142857144,0.018693121693121695,0.05355555555555556
2021-09-07,0.008095238095238095,0.01515079365079365,0.0187010582010582,0.053552910052910054
2021-09-08,0.008103174603174603,0.01515873015873016,0.018711640211640214,0.053550264550264556
2021-09-09,0.008113756613756615,0.015171957671957675,0.018724867724867728,0.05355820105820106
2021-09-10,0.008126984126984127,0.015182539682539685,0.018735449735449737,0.05354761904761905
2021-09-13,0.008134920634920636,0.01519047619047619,0.018746031746031747,0.05352380952380952
2021-09-14,0.008142857142857143,0.015198412698412699,0.018756613756613756,0.05351587301587302
2021-09-15,0.008153439153439154,0.015203703703703705,0.01876719576719577,0.053497354497354495
2021-09-16,0.008164021164021163,0.015208994708994708,0.018772486772486774,0.05347883597883598
2021-09-17,0.008171957671957672,0.015216931216931217,0.018777777777777782,0.05346825396825396
2021-09-20,0.008185185185185186,0.015230158730158731,0.018791005291005292,0.05351851851851852
2021-09-21,0.008198412698412698,0.015243386243386243,0.018804232804232806,0.053550264550264556
2021-09-22,0.00820899470899471,0.015253968253968254,0.018814814814814815,0.053566137566137574
2021-09-23,0.00821957671957672,0.015261904761904761,0.01882010582010582,0.05356349206349208
2021-09-24,0.008224867724867725,0.015261904761904761,0.01882010582010582,0.05357142857142858
2021-09-27,0.008222222222222223,0.01525925925925926,0.018817460317460316,0.053576719576719584
2021-09-28,0.008224867724867725,0.01525925925925926,0.018817460317460316,0.053603174603174604
2021-09-29,0.008224867724867725,0.01525925925925926,0.018814814814814815,0.05361375661375662
2021-09-30,0.008224867724867725,0.015261904761904761,0.018817460317460316,0.05364021164021164
2021-10-01,0.008222222222222223,0.01525925925925926,0.01881216931216931,0.05365608465608466
2021-10-04,0.00821957671957672,0.015256613756613758,0.01881216931216931,0.053693121693121695
2021-10-05,0.00821957671957672,0.015253968253968254,0.01880952380952381,0.05372486772486772
2021-10-06,0.00821957671957672,0.015256613756613758,0.01881216931216931,0.0537910052910053
2021-10-07,0.00821957671957672,0.01525925925925926,0.018814814814814815,0.05381481481481483
2021-10-08,0.00821957671957672,0.01525925925925926,0.018814814814814815,0.05383068783068784
2021-10-11,0.00821957671957672,0.015256613756613758,0.01881216931216931,0.05383597883597884
2021-10-12,0.008214285714285716,0.015251322751322752,0.018806878306878307,0.0537936507936508
2021-10-13,0.008203703703703704,0.015243386243386243,0.0187989417989418,0.05375925925925926
2021-10-14,0.008193121693121693,0.015235449735449737,0.018793650793650793,0.053743386243386246
2021-10-15,0.008182539682539684,0.015224867724867724,0.018785714285714288,0.05371164021164021
2021-10-18,0.008174603174603175,0.015216931216931217,0.018777777777777782,0.05368253968253968
2021-10-19,0.008164021164021163,0.015208994708994708,0.018769841269841273,0.05365079365079366
2021-10-20,0.008156084656084656,0.0152010582010582,0.01876190476190476,0.053597883597883596
2021-10-21,0.008150793650793652,0.015193121693121694,0.018756613756613756,0.05353703703703704
2021-10-22,0.00814814814814815,0.015187830687830688,0.018753968253968252,0.05349470899470899
2021-10-25,0.008145502645502647,0.015182539682539685,0.01874867724867725,0.05345502645502646
2021-10-26,0.00814021164021164,0.015174603174603176,0.018740740740740742,0.05339417989417989
2021-10-27,0.008132275132275131,0.015166666666666669,0.018732804232804233,0.05333862433862434
2021-10-28,0.008124338624338624,0.015156084656084657,0.018722222222222223,0.053264550264550264
2021-10-29,0.008116402116402117,0.015145502645502644,0.01870899470899471,0.05317460317460317
2021-10-31,0.00810846560846561,0.015134920634920635,0.0186984126984127,0.0531031746031746
2021-11-01,0.0081005291005291,0.015126984126984126,0.018690476190476188,0.05304761904761905
2021-11-02,0.008092592592592594,0.015121693121693123,0.018682539682539683,0.05301851851851852
2021-11-03,0.008084656084656085,0.015116402116402116,0.018674603174603177,0.052976190476190475
2021-11-04,0.008074074074074076,0.015108465608465608,0.018666666666666668,0.05294179894179894
2021-11-05,0.008060846560846562,0.015100529100529102,0.01865608465608466,0.052875661375661374
2021-11-08,0.008047619047619048,0.015089947089947093,0.018645502645502646,0.052793650793650795
2021-11-09,0.008042328042328043,0.015082010582010584,0.01864021164021164,0.05271957671957672
2021-11-10,0.008039682539682541,0.015074074074074073,0.01862962962962963,0.05263492063492063
2021-11-11,0.008037037037037039,0.015066137566137564,0.01861904761904762,0.05255291005291005
2021-11-12,0.008037037037037039,0.015058201058201059,0.01860846560846561,0.052484126984126994
2021-11-15,0.008031746031746032,0.01504761904761905,0.018595238095238095,0.05239947089947091
2021-11-16,0.00802910052910053,0.015042328042328043,0.018587301587301586,0.05233333333333333
2021-11-17,0.00802910052910053,0.01503968253968254,0.018582010582010585,0.05228835978835979
2021-11-18,0.008034391534391535,0.01503968253968254,0.01857936507936508,0.052269841269841265
2021-11-19,0.008037037037037039,0.015042328042328043,0.01857936507936508,0.05227513227513228
2021-11-22,0.008044973544973546,0.015044973544973545,0.018582010582010585,0.052269841269841265
2021-11-23,0.008055555555555557,0.015055555555555555,0.018592592592592595,0.0523042328042328
2021-11-24,0.008068783068783069,0.015066137566137564,0.018600529100529103,0.05234656084656084
2021-11-25,0.008082010582010583,0.015076719576719577,0.01860846560846561,0.05237566137566138
2021-11-26,0.008105820105820106,0.015100529100529102,0.018632275132275136,0.052489417989417995
2021-11-29,0.00812962962962963,0.015126984126984126,0.01865873015873016,0.052587301587301585
2021-11-30,0.008156084656084656,0.015156084656084657,0.018693121693121695,0.05272751322751323
2021-12-01,0.008185185185185186,0.015185185185185187,0.018730158730158732,0.05284656084656084
2021-12-02,0.008214285714285716,0.015216931216931217,0.018769841269841273,0.052947089947089944
2021-12-03,0.008238095238095239,0.015246031746031749,0.018804232804232806,0.05305291005291005
2021-12-06,0.00825925925925926,0.015272486772486773,0.018835978835978835,0.053121693121693125
2021-12-07,0.008277777777777778,0.015296296296296297,0.018862433862433865,0.05313492063492063
2021-12-08,0.008298941798941799,0.015320105820105822,0.01888888888888889,0.05316666666666667
2021-12-09,0.008320105820105821,0.015343915343915344,0.018915343915343916,0.053203703703703704
2021-12-10,0.008341269841269842,0.015370370370370373,0.01894179894179894,0.05325925925925926
2021-12-13,0.00835978835978836,0.015396825396825397,0.018973544973544972,0.05333068783068783
2021-12-14,0.008383597883597884,0.015425925925925926,0.01900793650793651,0.05341269841269841
2021-12-15,0.008407407407407407,0.015452380952380952,0.01903968253968254,0.053439153439153446
