regime,lam_cp,lam_own,ucva,udva,bcva,net_xva
Risk-On,0.0176747243426632,0.0141301950805767,-54572.107204230575,28560.447711276007,-25286.27952937438,-26011.659492954568
Normalization,0.0203392575039494,0.0163724328593996,-10616.119230536346,27132.512463410658,15831.863413713074,16516.39323287431
Event-Driven Stress,0.0234896331738437,0.0190295055821371,-58591.59619131181,36105.88576009294,-21910.650121729494,-22485.710431218868
Macro Tightening,0.029688815060908,0.0239950166112956,-17011.917692744177,53106.52566675776,33722.595940930885,36094.60797401359
